account_id,account_name,renewal_quarter,region,contract_term_years,last_deal_year,arr_up_for_renewal_usd,outcome,loss_reason,booked_arr_usd,renewal_motion
A0008,BluePeak Dynamics,2025-Q1,APAC,3,2022,60000,renewed,,146000,expansion
A0030,Meridian Works Inc,2025-Q1,APAC,3,2022,412000,churned,Adoption — low usage or failed rollout,0,
A0048,Northwind Works Inc,2025-Q1,AMER,3,2022,208000,renewed,,495000,expansion
A0051,Granite Logic,2025-Q1,EMEA,3,2022,514000,renewed,,1241000,expansion
A0053,Cobalt Grid Inc,2025-Q1,APAC,1,2024,110000,renewed,,176000,expansion
A0056,Granite Cloud Inc,2025-Q1,APAC,3,2022,213000,renewed,,322000,expansion
A0058,Vertex Logic,2025-Q1,EMEA,3,2022,49000,renewed,,79000,expansion
A0074,BluePeak Works,2025-Q1,EMEA,3,2022,293000,renewed,,844000,expansion
A0078,Aurora Labs,2025-Q1,APAC,3,2022,389000,renewed,,466000,expansion
A0086,Parallel Grid,2025-Q1,APAC,3,2022,390000,renewed,,402000,expansion
A0092,BluePeak Logic,2025-Q1,EMEA,3,2022,413000,renewed,,414000,flat
A0102,Granite Dynamics,2025-Q1,APAC,3,2022,244000,renewed,,259000,expansion
A0111,Vertex Systems Inc,2025-Q1,APAC,3,2022,104000,renewed,,181000,expansion
A0119,Pinnacle Cloud,2025-Q1,APAC,3,2022,31000,renewed,,31000,flat
A0129,Vertex Works Inc,2025-Q1,EMEA,3,2022,129000,renewed,,162000,expansion
A0130,Vertex Works Inc,2025-Q1,APAC,3,2022,68000,renewed,,182000,expansion
A0131,Silverline Systems,2025-Q1,APAC,3,2022,421000,renewed,,449000,expansion
A0136,Cobalt Labs Inc,2025-Q1,APAC,3,2022,220000,renewed,,223000,flat
A0140,Northwind Grid,2025-Q1,EMEA,3,2022,388000,renewed,,653000,expansion
A0148,Northwind Grid,2025-Q1,EMEA,3,2022,81000,churned,Product — capability or roadmap gap,0,
A0161,Aurora Cloud,2025-Q1,APAC,5,2020,507000,renewed,,805000,expansion
A0163,Silverline Bridge Inc,2025-Q1,EMEA,4,2021,141000,renewed,,155000,expansion
A0169,Vertex Works,2025-Q1,AMER,3,2022,390000,renewed,,449000,expansion
A0175,Silverline Dynamics,2025-Q1,APAC,3,2022,512000,renewed,,876000,expansion
A0179,Cobalt Logic,2025-Q1,APAC,2,2023,344000,renewed,,672000,expansion
A0184,Meridian Cloud Inc,2025-Q1,AMER,3,2022,234000,renewed,,284000,expansion
A0189,Northwind Labs,2025-Q1,EMEA,3,2022,264000,renewed,,581000,expansion
A0191,Parallel Grid Inc,2025-Q1,EMEA,3,2022,191000,renewed,,192000,flat
A0192,BluePeak Dynamics,2025-Q1,EMEA,4,2021,520000,renewed,,520000,flat
A0196,Vertex Cloud Inc,2025-Q1,AMER,3,2022,67000,renewed,,94000,expansion
A0198,BluePeak Grid Inc,2025-Q1,APAC,3,2022,196000,renewed,,271000,expansion
A0201,BluePeak Dynamics Inc,2025-Q1,AMER,3,2022,25000,renewed,,46000,expansion
A0206,Aurora Systems Inc,2025-Q1,AMER,5,2020,320000,renewed,,359000,expansion
A0218,Granite Cloud Inc,2025-Q1,AMER,4,2021,349000,renewed,,1023000,expansion
A0225,Parallel Bridge,2025-Q1,AMER,3,2022,33000,renewed,,92000,expansion
A0228,Vertex Logic,2025-Q1,APAC,2,2023,55000,churned,Pricing — rejected renewal uplift,0,
A0235,Pinnacle Works Inc,2025-Q1,AMER,4,2021,477000,churned,Risk — security or compliance,0,
A0240,Parallel Labs Inc,2025-Q1,AMER,3,2022,58000,renewed,,152000,expansion
A0244,Parallel Cloud Inc,2025-Q1,APAC,3,2022,99000,renewed,,99000,flat
A0248,Aurora Bridge,2025-Q1,EMEA,3,2022,55000,renewed,,157000,expansion
A0251,Vertex Systems,2025-Q1,EMEA,3,2022,53000,renewed,,54000,flat
A0268,Silverline Cloud,2025-Q1,AMER,3,2022,101000,renewed,,131000,expansion
A0270,Silverline Bridge Inc,2025-Q1,AMER,3,2022,158000,renewed,,197000,expansion
A0280,Granite Works,2025-Q1,AMER,3,2022,230000,renewed,,230000,flat
A0284,Silverline Works Inc,2025-Q1,APAC,1,2024,79000,churned,Adoption — low usage or failed rollout,0,
A0294,Meridian Bridge Inc,2025-Q1,APAC,3,2022,417000,renewed,,584000,expansion
A0296,BluePeak Cloud Inc,2025-Q1,EMEA,2,2023,27000,churned,Timing — deprioritized / no decision,0,
A0297,Silverline Works Inc,2025-Q1,APAC,3,2022,72000,renewed,,119000,expansion
A0320,Meridian Works Inc,2025-Q1,APAC,3,2022,155000,renewed,,428000,expansion
A0323,Cobalt Bridge Inc,2025-Q1,APAC,3,2022,476000,renewed,,496000,expansion
A0327,Northwind Systems,2025-Q1,AMER,3,2022,400000,renewed,,1118000,expansion
A0342,Silverline Grid Inc,2025-Q1,AMER,3,2022,208000,renewed,,221000,expansion
A0343,Meridian Grid Inc,2025-Q1,EMEA,3,2022,479000,renewed,,502000,expansion
A0345,Silverline Bridge,2025-Q1,AMER,5,2020,118000,renewed,,152000,expansion
A0349,Silverline Bridge Inc,2025-Q1,EMEA,3,2022,514000,renewed,,1386000,expansion
A0352,Parallel Grid,2025-Q1,APAC,3,2022,183000,renewed,,195000,expansion
A0369,Aurora Dynamics,2025-Q1,APAC,3,2022,258000,renewed,,561000,expansion
A0386,Pinnacle Grid Inc,2025-Q1,EMEA,3,2022,223000,renewed,,226000,flat
A0391,Cobalt Logic Inc,2025-Q1,EMEA,3,2022,469000,renewed,,1290000,expansion
A0399,Pinnacle Systems Inc,2025-Q1,AMER,3,2022,225000,renewed,,345000,expansion
A0405,BluePeak Systems,2025-Q1,EMEA,3,2022,26000,renewed,,53000,expansion
A0419,Northwind Cloud,2025-Q1,APAC,3,2022,100000,renewed,,105000,expansion
A0420,Granite Systems,2025-Q1,AMER,3,2022,67000,renewed,,67000,flat
A0421,Aurora Systems,2025-Q1,AMER,3,2022,509000,renewed,,1257000,expansion
A0436,Granite Systems Inc,2025-Q1,AMER,3,2022,272000,renewed,,697000,expansion
A0441,Cobalt Dynamics,2025-Q1,EMEA,3,2022,410000,renewed,,498000,expansion
A0442,Granite Dynamics,2025-Q1,EMEA,3,2022,248000,renewed,,334000,expansion
A0452,Granite Dynamics,2025-Q1,AMER,3,2022,455000,renewed,,552000,expansion
A0454,Parallel Systems Inc,2025-Q1,AMER,5,2020,342000,renewed,,724000,expansion
A0463,Pinnacle Works,2025-Q1,AMER,3,2022,114000,renewed,,177000,expansion
A0468,Parallel Dynamics,2025-Q1,AMER,3,2022,169000,renewed,,355000,expansion
A0470,Cobalt Bridge Inc,2025-Q1,AMER,3,2022,57000,renewed,,61000,expansion
A0480,Parallel Works Inc,2025-Q1,APAC,3,2022,41000,renewed,,43000,expansion
A0490,Vertex Bridge Inc,2025-Q1,AMER,3,2022,99000,renewed,,176000,expansion
A0491,Aurora Grid,2025-Q1,EMEA,3,2022,99000,renewed,,156000,expansion
A0493,Meridian Works,2025-Q1,AMER,3,2022,431000,renewed,,806000,expansion
A0515,Pinnacle Systems,2025-Q1,APAC,3,2022,41000,renewed,,44000,expansion
A0521,Cobalt Grid,2025-Q1,AMER,3,2022,143000,renewed,,334000,expansion
A0522,Northwind Bridge,2025-Q1,EMEA,3,2022,82000,renewed,,236000,expansion
A0526,Cobalt Grid,2025-Q1,EMEA,3,2022,86000,renewed,,86000,flat
A0527,Aurora Works,2025-Q1,APAC,3,2022,72000,renewed,,142000,expansion
A0531,Granite Labs Inc,2025-Q1,AMER,3,2022,180000,renewed,,247000,expansion
A0550,Cobalt Bridge,2025-Q1,EMEA,3,2022,511000,renewed,,746000,expansion
A0557,Silverline Dynamics Inc,2025-Q1,AMER,3,2022,226000,renewed,,238000,expansion
A0565,Granite Dynamics Inc,2025-Q1,AMER,1,2024,35000,renewed,,48000,expansion
A0566,BluePeak Dynamics,2025-Q1,EMEA,3,2022,294000,renewed,,307000,expansion
A0568,Vertex Logic,2025-Q1,APAC,3,2022,176000,renewed,,428000,expansion
A0569,Pinnacle Systems,2025-Q1,EMEA,3,2022,61000,churned,Value — ROI / business case not approved,0,
A0571,Aurora Cloud,2025-Q1,APAC,3,2022,121000,renewed,,121000,flat
A0574,BluePeak Works Inc,2025-Q1,EMEA,5,2020,31000,renewed,,39000,expansion
A0575,BluePeak Labs Inc,2025-Q1,APAC,3,2022,311000,renewed,,697000,expansion
A0577,BluePeak Dynamics,2025-Q1,EMEA,3,2022,447000,renewed,,648000,expansion
A0584,Meridian Logic,2025-Q1,EMEA,3,2022,309000,renewed,,549000,expansion
A0590,Pinnacle Labs,2025-Q1,APAC,1,2024,29000,renewed,,29000,flat
A0594,Granite Labs Inc,2025-Q1,EMEA,3,2022,501000,renewed,,502000,flat
A0604,BluePeak Dynamics Inc,2025-Q1,EMEA,3,2022,229000,renewed,,273000,expansion
A0605,Silverline Logic Inc,2025-Q1,EMEA,1,2024,521000,renewed,,527000,flat
A0618,Cobalt Systems,2025-Q1,EMEA,2,2023,357000,renewed,,448000,expansion
A0623,Cobalt Works Inc,2025-Q1,EMEA,3,2022,268000,renewed,,404000,expansion
A0626,Meridian Labs,2025-Q1,APAC,3,2022,100000,renewed,,139000,expansion
A0002,BluePeak Logic,2025-Q2,EMEA,3,2022,445000,renewed,,989000,expansion
A0003,Granite Dynamics Inc,2025-Q2,EMEA,3,2022,252000,renewed,,331000,expansion
A0004,Northwind Works,2025-Q2,AMER,3,2022,24000,renewed,,36000,expansion
A0006,Silverline Bridge,2025-Q2,APAC,3,2022,161000,renewed,,162000,flat
A0007,Northwind Labs,2025-Q2,EMEA,3,2022,275000,renewed,,292000,expansion
A0018,Parallel Systems,2025-Q2,APAC,3,2022,143000,renewed,,146000,expansion
A0019,Silverline Cloud Inc,2025-Q2,AMER,4,2021,449000,renewed,,578000,expansion
A0021,Northwind Cloud,2025-Q2,APAC,3,2022,61000,renewed,,61000,flat
A0025,Cobalt Works,2025-Q2,APAC,3,2022,108000,renewed,,109000,flat
A0031,Meridian Works Inc,2025-Q2,EMEA,3,2022,61000,renewed,,65000,expansion
A0034,Granite Grid,2025-Q2,EMEA,3,2022,422000,renewed,,1206000,expansion
A0037,Northwind Labs,2025-Q2,APAC,3,2022,443000,renewed,,448000,flat
A0040,Silverline Cloud,2025-Q2,EMEA,3,2022,166000,churned,Stakeholder — champion departed / reorg,0,
A0041,Vertex Dynamics Inc,2025-Q2,AMER,4,2021,81000,renewed,,117000,expansion
A0052,Parallel Bridge Inc,2025-Q2,EMEA,3,2022,431000,renewed,,625000,expansion
A0061,Aurora Grid,2025-Q2,EMEA,3,2022,263000,renewed,,266000,flat
A0082,Parallel Works Inc,2025-Q2,EMEA,3,2022,157000,renewed,,173000,expansion
A0098,Northwind Logic Inc,2025-Q2,APAC,2,2023,22000,churned,Pricing — lower competitive quote,0,
A0099,Vertex Bridge Inc,2025-Q2,AMER,3,2022,279000,renewed,,367000,expansion
A0100,Northwind Cloud,2025-Q2,APAC,3,2022,144000,renewed,,289000,expansion
A0104,Parallel Logic,2025-Q2,AMER,3,2022,101000,renewed,,101000,flat
A0122,BluePeak Logic,2025-Q2,EMEA,3,2022,229000,renewed,,490000,expansion
A0124,Northwind Labs Inc,2025-Q2,APAC,3,2022,162000,renewed,,172000,expansion
A0126,BluePeak Logic Inc,2025-Q2,AMER,1,2024,126000,renewed,,164000,expansion
A0133,Northwind Bridge,2025-Q2,APAC,3,2022,41000,renewed,,108000,expansion
A0138,Parallel Grid,2025-Q2,AMER,3,2022,87000,renewed,,170000,expansion
A0139,Northwind Cloud,2025-Q2,EMEA,4,2021,240000,renewed,,247000,expansion
A0147,Vertex Bridge Inc,2025-Q2,APAC,3,2022,506000,renewed,,547000,expansion
A0157,Silverline Systems Inc,2025-Q2,EMEA,3,2022,178000,renewed,,346000,expansion
A0159,BluePeak Labs,2025-Q2,APAC,4,2021,182000,renewed,,309000,expansion
A0160,BluePeak Logic,2025-Q2,AMER,3,2022,379000,renewed,,710000,expansion
A0162,Meridian Labs,2025-Q2,APAC,2,2023,72000,churned,Adoption — low usage or failed rollout,0,
A0167,BluePeak Grid,2025-Q2,EMEA,3,2022,348000,renewed,,348000,flat
A0171,Pinnacle Bridge Inc,2025-Q2,AMER,5,2020,28000,renewed,,75000,expansion
A0177,Silverline Labs,2025-Q2,EMEA,3,2022,516000,renewed,,916000,expansion
A0178,Parallel Cloud,2025-Q2,AMER,3,2022,28000,renewed,,55000,expansion
A0181,Cobalt Logic Inc,2025-Q2,EMEA,2,2023,338000,renewed,,614000,expansion
A0202,Vertex Bridge,2025-Q2,EMEA,3,2022,223000,renewed,,493000,expansion
A0212,Cobalt Systems Inc,2025-Q2,EMEA,3,2022,364000,renewed,,415000,expansion
A0214,Silverline Labs Inc,2025-Q2,APAC,3,2022,25000,renewed,,50000,expansion
A0219,Silverline Systems,2025-Q2,APAC,3,2022,28000,renewed,,30000,expansion
A0220,Silverline Grid,2025-Q2,APAC,3,2022,147000,renewed,,170000,expansion
A0224,Parallel Dynamics Inc,2025-Q2,EMEA,3,2022,193000,renewed,,223000,expansion
A0230,BluePeak Systems,2025-Q2,EMEA,3,2022,47000,renewed,,105000,expansion
A0231,Pinnacle Systems,2025-Q2,APAC,3,2022,94000,renewed,,96000,expansion
A0245,Silverline Bridge Inc,2025-Q2,AMER,3,2022,166000,renewed,,229000,expansion
A0247,Northwind Dynamics,2025-Q2,APAC,3,2022,439000,renewed,,789000,expansion
A0271,Cobalt Labs,2025-Q2,EMEA,3,2022,42000,renewed,,72000,expansion
A0277,Pinnacle Dynamics,2025-Q2,AMER,3,2022,391000,renewed,,1165000,expansion
A0285,Meridian Labs,2025-Q2,APAC,3,2022,23000,renewed,,23000,flat
A0290,Pinnacle Dynamics,2025-Q2,AMER,1,2024,399000,renewed,,401000,flat
A0293,Silverline Grid Inc,2025-Q2,EMEA,1,2024,171000,renewed,,503000,expansion
A0298,Pinnacle Labs,2025-Q2,AMER,3,2022,76000,renewed,,120000,expansion
A0303,Granite Dynamics,2025-Q2,AMER,4,2021,407000,churned,Pricing — rejected renewal uplift,0,
A0326,Silverline Works Inc,2025-Q2,AMER,2,2023,514000,renewed,,706000,expansion
A0334,Vertex Bridge,2025-Q2,AMER,3,2022,56000,renewed,,123000,expansion
A0344,Northwind Cloud,2025-Q2,EMEA,3,2022,222000,renewed,,361000,expansion
A0348,Meridian Works,2025-Q2,AMER,3,2022,64000,renewed,,114000,expansion
A0350,Aurora Labs,2025-Q2,APAC,5,2020,395000,renewed,,1019000,expansion
A0355,Aurora Cloud Inc,2025-Q2,EMEA,4,2021,469000,renewed,,571000,expansion
A0360,Aurora Systems,2025-Q2,APAC,3,2022,35000,renewed,,36000,expansion
A0363,Granite Cloud,2025-Q2,AMER,3,2022,104000,renewed,,238000,expansion
A0370,Parallel Labs Inc,2025-Q2,EMEA,3,2022,26000,renewed,,69000,expansion
A0373,BluePeak Bridge,2025-Q2,APAC,3,2022,34000,renewed,,35000,expansion
A0374,Granite Bridge,2025-Q2,APAC,1,2024,43000,renewed,,105000,expansion
A0376,Pinnacle Cloud Inc,2025-Q2,AMER,3,2022,209000,renewed,,237000,expansion
A0383,BluePeak Bridge,2025-Q2,APAC,3,2022,308000,renewed,,360000,expansion
A0389,Cobalt Cloud Inc,2025-Q2,EMEA,5,2020,30000,renewed,,58000,expansion
A0392,Pinnacle Labs,2025-Q2,AMER,3,2022,394000,renewed,,395000,flat
A0398,Vertex Bridge,2025-Q2,APAC,3,2022,409000,renewed,,1045000,expansion
A0401,Aurora Grid Inc,2025-Q2,EMEA,5,2020,27000,renewed,,48000,expansion
A0404,BluePeak Bridge,2025-Q2,APAC,3,2022,374000,renewed,,564000,expansion
A0409,Meridian Bridge,2025-Q2,AMER,3,2022,301000,renewed,,324000,expansion
A0412,Northwind Logic,2025-Q2,AMER,3,2022,384000,renewed,,876000,expansion
A0424,Cobalt Bridge Inc,2025-Q2,APAC,3,2022,74000,renewed,,74000,flat
A0429,Silverline Dynamics,2025-Q2,EMEA,3,2022,426000,renewed,,460000,expansion
A0430,BluePeak Grid Inc,2025-Q2,EMEA,3,2022,23000,renewed,,36000,expansion
A0431,Northwind Bridge Inc,2025-Q2,AMER,3,2022,335000,renewed,,377000,expansion
A0439,Cobalt Cloud,2025-Q2,AMER,1,2024,92000,renewed,,92000,flat
A0443,Pinnacle Labs Inc,2025-Q2,AMER,3,2022,296000,renewed,,799000,expansion
A0451,Meridian Labs,2025-Q2,AMER,3,2022,83000,renewed,,187000,expansion
A0455,Cobalt Grid,2025-Q2,AMER,3,2022,31000,renewed,,63000,expansion
A0458,Granite Cloud,2025-Q2,EMEA,2,2023,382000,renewed,,455000,expansion
A0461,Aurora Works,2025-Q2,EMEA,1,2024,129000,renewed,,195000,expansion
A0471,Vertex Works Inc,2025-Q2,AMER,3,2022,336000,renewed,,485000,expansion
A0475,Northwind Dynamics,2025-Q2,APAC,3,2022,30000,renewed,,33000,expansion
A0476,Vertex Grid Inc,2025-Q2,APAC,3,2022,181000,renewed,,220000,expansion
A0481,BluePeak Works,2025-Q2,EMEA,3,2022,99000,renewed,,138000,expansion
A0485,Vertex Bridge,2025-Q2,EMEA,3,2022,111000,renewed,,209000,expansion
A0487,BluePeak Bridge Inc,2025-Q2,AMER,3,2022,62000,renewed,,71000,expansion
A0488,Northwind Grid Inc,2025-Q2,APAC,3,2022,326000,renewed,,364000,expansion
A0489,Parallel Dynamics Inc,2025-Q2,EMEA,3,2022,375000,renewed,,513000,expansion
A0496,BluePeak Bridge Inc,2025-Q2,APAC,3,2022,128000,renewed,,216000,expansion
A0501,Silverline Works,2025-Q2,EMEA,3,2022,30000,renewed,,43000,expansion
A0503,Granite Works Inc,2025-Q2,APAC,2,2023,145000,churned,Risk — security or compliance,0,
A0508,Meridian Systems Inc,2025-Q2,APAC,3,2022,30000,renewed,,30000,flat
A0510,Silverline Systems Inc,2025-Q2,EMEA,5,2020,315000,renewed,,488000,expansion
A0513,Meridian Cloud,2025-Q2,EMEA,3,2022,419000,renewed,,768000,expansion
A0532,Parallel Grid Inc,2025-Q2,APAC,3,2022,262000,renewed,,285000,expansion
A0537,Meridian Dynamics Inc,2025-Q2,EMEA,3,2022,23000,renewed,,25000,expansion
A0538,Granite Dynamics,2025-Q2,APAC,3,2022,99000,renewed,,216000,expansion
A0540,Aurora Works,2025-Q2,EMEA,3,2022,229000,renewed,,558000,expansion
A0541,Meridian Works,2025-Q2,EMEA,3,2022,46000,churned,Adoption — low usage or failed rollout,0,
A0544,Cobalt Logic Inc,2025-Q2,AMER,3,2022,455000,churned,Procurement — vendor consolidation,0,
A0545,Meridian Systems Inc,2025-Q2,APAC,3,2022,244000,renewed,,306000,expansion
A0556,Pinnacle Works,2025-Q2,APAC,2,2023,348000,renewed,,425000,expansion
A0559,Meridian Works,2025-Q2,AMER,3,2022,249000,renewed,,274000,expansion
